everything awesome everything awesome
first half movie decent second half movie awesome end credit song made laugh harder rest moviethe thing making give 45 instead 35 first half drags little much first half movie decent second half movie awesome end credit song made laugh harder rest moviethe thing making give 45 instead 35 first half drags little much
took nephew felt like kid seeing good guys win day would loved see lego movie made favorite 90s characters imagine lego liono raphael five stars kid movie took nephew felt like kid seeing good guys win day would loved see lego movie made favorite 90s characters imagine lego liono raphael five stars kid movie
good movie wonder itï¿½tms going dvd good movie wonder itï¿½tms going dvd
good first one enjoyable enough good family film put list movies see good first one enjoyable enough good family film put list movies see
lego movie 2 second part good movie entertaining leaves without words certain parts movie songs funny characters hope third part lego movie 2 second part good movie entertaining leaves without words certain parts movie songs funny characters hope third part
lego movie 2 quite good first one still lots heart fun lego movie 2 quite good first one still lots heart fun
toxic masculinity plot line ridiculously untrue sets bad example society treat young boys toxic masculinity plot line ridiculously untrue sets bad example society treat young boys
dissapointing wreck loved first one start one good feel would disapointed wasnt lego movie characters wasnt would complete fail bad dissapointing wreck loved first one start one good feel would disapointed wasnt lego movie characters wasnt would complete fail bad
movie great since first movie success film directors figured everyone loved made super brick built hilarious sequel sadly scenes movie go bit silly yes course sense silliness lot cheesy silly jokes bit chilldish thought learned mistake lego ninjago movie maybe weï¿½ 12tmre going keep seeing future lego movies letï¿½ 12tms hope gets bit less silly anyway despite negatives movie showed us great idea story would recommend songs also really catchy catchy song get stuck inside head movie great since first movie success film directors figured everyone loved made super brick built hilarious sequel sadly scenes movie go bit silly yes course sense silliness lot cheesy silly jokes bit chilldish thought learned mistake lego ninjago movie maybe weï¿½ 12tmre going keep seeing future lego movies letï¿½ 12tms hope gets bit less silly anyway despite negatives movie showed us great idea story would recommend songs also really catchy catchy song get stuck inside head
film delighti didnt like much first however still really funny great twist film delighti didnt like much first however still really funny great twist
fun family friendly great funny movie whole family enjoy fun family friendly great funny movie whole family enjoy
good movie fan watch movie pick disk good movie fan watch movie pick disk
really fun whole family probably second best franchise really fun whole family probably second best franchise
pretty good movie took kids 11 8 enjoyed pretty good movie took kids 11 8 enjoyed
lego movie really fun sequel much fun first one still joy look story takes right first one ended continues story nice understandable way although story isnt actually goodbut seem goodbecause whole movie filled cameos references examples bruce willis cameos references batman actors general references marvel dc movies make lego movie fun experience everybody understands references everyone else movie sometimes funny time story isnt well constructed pretty basic storytelling twist turns make movie interesting points lego movie really fun sequel much fun first one still joy look story takes right first one ended continues story nice understandable way although story isnt actually goodbut seem goodbecause whole movie filled cameos references examples bruce willis cameos references batman actors general references marvel dc movies make lego movie fun experience everybody understands references everyone else movie sometimes funny time story isnt well constructed pretty basic storytelling twist turns make movie interesting points
awesome flim talks siblings maturity awesome flim talks siblings maturity
